zone_id,violation_count,center_lat,center_lng,wrong_parking_count,no_parking_count,main_road_parking_count,road_crossing_parking_count,footpath_parking_count,double_parking_count,peak_hour_count,weekend_count,junction_violation_count,total_vehicles,unique_vehicles,unique_vehicle_types,unique_violation_types,active_hours,active_days,avg_response_time,median_response_time,police_stations,wrong_parking_ratio,no_parking_ratio,main_road_parking_ratio,road_crossing_ratio,footpath_parking_ratio,double_parking_ratio,peak_hour_ratio,weekend_ratio,junction_violation_ratio,repeat_offender_ratio,vehicle_diversity,temporal_spread,nearest_metro_dist,nearest_mall_dist,nearest_hospital_dist,nearest_market_dist,nearest_bus_stand_dist,nearest_school_dist,nearest_event_venue_dist,poi_count_500m,poi_count_1km,log_violation_count,violation_density_rank,violation_zscore,spillover_label,risk_score,risk_prediction,impact_score,impact_risk_component,impact_density_component,impact_peak_hour_component,impact_road_impact_component,impact_poi_component,impact_repeat_offender_component,severity,enforcement_priority
Z_100_68,3,13.152702702702703,77.61712962962963,3,0,3,0,0,0,1,0,0,3,3,2,8,3,3,,,1,1.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.2767857142857143,16369.589224121011,17005.000114218787,13585.286940787853,17423.069750682076,20118.234776222187,15521.14501534307,17582.22279939547,0,0,1.3862943611198906,0.19960861056751467,-0.23623676529311788,0,0.0026907376,0,0.1842294147452071,0.0026907376,0.07678226434655998,0.3333333333333333,0.6,0.28065740537276573,0.0,MEDIUM,721
Z_100_69,5,13.152702702702703,77.62175925925925,2,4,4,1,0,0,1,0,0,5,5,3,11,4,2,,,1,0.4,0.8,0.8,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.22619047619047616,16656.2063896243,17222.20414977642,13728.215350823164,17582.701181080418,20244.8511596317,15703.225803107134,17718.98109675625,0,0,1.791759469228055,0.27234181343770386,-0.23377045211205325,0,0.0018648498,0,0.1661631828828655,0.0018648498,0.12169700970975657,0.2,0.56,0.2726432598249392,0.0,LOW,826
Z_102_63,18,13.16171171171171,77.59398148148148,8,12,8,1,3,0,0,12,0,18,18,3,32,5,5,,,1,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.05555555555555555,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.5,0.46130952380952384,15624.2110933504,17071.744579026083,14135.353883783768,17815.979909275833,20660.55215111344,15816.614615289423,18098.667251937914,0,0,2.9444389791664403,0.47325505544683627,-0.21773941643513314,0,0.00015533493,0,0.1210620415321074,0.00015533493,0.24938322891569062,0.0,0.28888888888888886,0.27805461933471287,0.0,LOW,1142
Z_102_70,29,13.16171171171171,77.62638888888888,16,15,8,0,0,0,16,2,0,29,29,4,39,8,6,,,1,0.5517241379310345,0.5172413793103449,0.27586206896551724,0.0,0.0,0.0,0.5517241379310345,0.06896551724137931,0.0,0.0,0.6666666666666666,0.5952380952380952,17775.374195609566,18342.376586426333,14835.604757523766,18694.48504641745,21344.56990819567,16820.27898035965,18823.24258291012,0,0,3.4011973816621555,0.5512067840834964,-0.20417469393927765,0,0.0015518928,0,0.19079732424151924,0.0015518928,0.2999799064851025,0.5517241379310345,0.16551724137931034,0.22749568183935054,0.0,MEDIUM,689
Z_102_74,1,13.16171171171171,77.6449074074074,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.09226190476190475,18827.54305681365,19097.526465236257,15580.41353097598,19464.71483344159,21978.92776528879,17683.380482831788,19510.63478983508,0,0,0.6931471805599453,0.060665362035225046,-0.2387030784741825,0,3.2199303e-05,0,0.019501198010389055,3.2199303e-05,0.0,0.0,0.0,0.19491538218958304,0.0,LOW,1526
Z_103_88,2,13.166216216216215,77.70972222222223,1,1,0,0,0,0,0,0,0,2,2,1,2,1,1,,,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.09226190476190475,20556.135708388618,18800.630473142963,19993.831028591096,23200.795894856496,22271.954720089772,22273.49806120355,21664.610801173407,0,0,1.0986122886681098,0.14840182648401826,-0.2374699218836502,0,2.6969405e-05,0,0.02294335525398363,2.6969405e-05,0.04491474536319661,0.0,0.0,0.13952315359223588,0.0,LOW,1525
Z_104_65,2,13.17072072072072,77.60324074074074,2,0,1,0,0,0,2,2,0,2,2,1,3,1,1,,,1,1.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.16666666666666666,0.09226190476190475,17013.43634346949,18322.023097026828,15242.136809587073,18981.79266283775,21787.244448019363,17004.717779215178,19228.11497044334,0,0,1.0986122886681098,0.14840182648401826,-0.2374699218836502,0,0.0034039258,0,0.2278067553523942,0.0034039258,0.04491474536319661,1.0,0.3,0.22802628538987302,0.0,MEDIUM,586
Z_105_72,19,13.175225225225224,77.63564814814815,4,19,5,0,1,0,2,2,0,19,19,2,29,2,3,,,1,0.21052631578947367,1.0,0.2631578947368421,0.0,0.05263157894736842,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.3333333333333333,0.25595238095238093,19572.031360222514,20135.521250440255,16583.60971230386,20452.344134619994,23071.0482470974,18595.21589890445,20561.584588774014,0,0,2.995732273553991,0.48238747553816047,-0.2165062598446008,0,0.0017415183,0,0.10658301488212077,0.0017415183,0.25506516112190586,0.10526315789473684,0.15789473684210525,0.1557384295562203,0.0,LOW,1226
Z_105_92,1,13.175225225225224,77.72824074074074,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.09226190476190475,22170.38936873473,20040.585470099057,22109.607793299605,25069.237204925725,22963.50659329003,24397.42395399711,22903.445603537613,0,0,0.6931471805599453,0.060665362035225046,-0.2387030784741825,0,3.2199303e-05,0,0.008470024351538518,3.2199303e-05,0.0,0.0,0.0,0.08460364560107769,0.0,LOW,1529
Z_107_73,1,13.184234234234234,77.64027777777777,0,1,1,0,0,0,0,1,0,1,1,1,2,1,1,,,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.09226190476190475,20654.95108298263,21255.634189153006,17696.67407468082,21567.464255448744,24177.157300760256,19713.882151316,21671.54469776684,0,0,0.6931471805599453,0.060665362035225046,-0.2387030784741825,0,0.00011508022,0,0.10112057195209388,0.00011508022,0.0,0.0,0.6,0.11086047886098527,0.0,LOW,1251
Z_107_81,814,13.184234234234234,77.6773148148148,167,650,228,26,0,8,254,246,0,814,761,6,1133,18,7,,,1,0.20515970515970516,0.7985257985257985,0.2800982800982801,0.03194103194103194,0.0,0.009828009828009828,0.31203931203931207,0.3022113022113022,0.0,0.06511056511056512,1.0,0.875,21779.89569820571,20860.902770162982,19457.298739987345,23324.783413559857,25110.04660584927,21640.314215937888,23290.873997479073,0,0,6.703188113240863,0.949119373776908,0.763853229628591,1,0.9945551,1,0.5195758394358919,0.9945551,0.6657526201779643,0.31203931203931207,0.18083538083538084,0.0761650832717925,0.06511056511056512,HIGH,277
Z_107_82,2630,13.184234234234234,77.68194444444444,804,1832,621,41,0,28,771,750,0,2630,2398,6,3449,18,7,,,1,0.3057034220532319,0.6965779467680608,0.23612167300380227,0.0155893536121673,0.0,0.01064638783269962,0.29315589353612165,0.28517110266159695,0.0,0.08821292775665401,1.0,0.875,21846.194670323202,20815.895615475292,19723.73285862409,23583.245099256368,24957.375205024713,21920.856831186833,23533.564140635528,0,0,7.875119281040293,0.9882583170254403,3.0032655980352785,1,0.99504364,1,0.5400959865128241,0.99504364,0.7955714108268092,0.29315589353612165,0.14790874524714825,0.07487601301944358,0.08821292775665401,HIGH,178
Z_107_83,210,13.184234234234234,77.68657407407407,196,16,1,0,0,1,1,40,0,210,204,5,216,9,7,,,1,0.9333333333333333,0.0761904761904762,0.004761904761904762,0.0,0.0,0.004761904761904762,0.004761904761904762,0.19047619047619047,0.0,0.02857142857142858,0.8333333333333334,0.6875,21923.76408395029,20782.891651048827,19999.188845786462,23849.44851963118,24813.89931954863,22209.176228336433,23612.344296148884,0,0,5.351858133476067,0.8545335942596216,0.019026648947071692,0,0.024990048,0,0.1220271638239362,0.024990048,0.5160612146067649,0.004761904761904762,0.002857142857142857,0.07317905959072923,0.02857142857142858,LOW,1134
